event,feedback,rating
Cultural Fest,The music show was awesome and the volunteers were very helpful!,5
Cultural Fest,Loved the food and the friendly staff.,5
Cultural Fest,The event was too crowded and the sound system was poor.,2
Cultural Fest,I enjoyed the performances, great atmosphere!,5
Cultural Fest,The event started late and there was no space to sit.,2
Cultural Fest,Snacks were tasty and the games were fun.,4
Cultural Fest,It was a bit disorganized, and I could not hear the announcements.,3
Cultural Fest,Excellent performances and good crowd management.,5
Cultural Fest,More seating would have been nice.,3
Cultural Fest,The overall experience was fantastic!,5
Cultural Fest,The volunteers did a great job.,5
Cultural Fest,The event was very well organized.,5
Cultural Fest,Food stalls were too crowded.,3
Cultural Fest,The music was too loud.,2
Cultural Fest,Lighting was great but the sound was average.,4
Cultural Fest,Security was good, felt safe.,5
Cultural Fest,The event was delayed and crowded.,2
Cultural Fest,The food ran out quickly.,3
Cultural Fest,Enjoyed the dance performances the most.,5
Cultural Fest,Need more water stations.,3
Cultural Fest,The staff was polite and helpful.,5
Cultural Fest,Seating arrangements could be improved.,3
Cultural Fest,Enjoyed the games, had a lot of fun!,4
Cultural Fest,The event started on time.,5
Cultural Fest,The event was too long.,2
Cultural Fest,There were not enough volunteers.,3
Cultural Fest,The event was memorable!,5
Cultural Fest,Food was delicious.,5
Cultural Fest,The registration process was slow.,2
Cultural Fest,Too many people, felt cramped.,2
Cultural Fest,The event was very lively and enjoyable.,5
Cultural Fest,The music was enjoyable.,4
Cultural Fest,Stage was visible from everywhere.,5
Cultural Fest,Not enough dustbins around.,3
Cultural Fest,The event was boring.,1
Cultural Fest,There was a lot of variety in programs.,5
Cultural Fest,The venue was clean.,5
Cultural Fest,The crowd was managed well.,4
Cultural Fest,The schedule was confusing.,3
Cultural Fest,Great experience!,5
Cultural Fest,The event could have more fun activities.,3
Cultural Fest,The food was not fresh.,2
Cultural Fest,The announcements were not clear.,2
Cultural Fest,The performances were amazing!,5
Cultural Fest,The event was too noisy.,2
Cultural Fest,There was not enough parking space.,3
Cultural Fest,The volunteers were not very helpful.,2
Cultural Fest,The event was enjoyable and well managed.,5
Cultural Fest,It was a bit too crowded.,3
Cultural Fest,The decorations were beautiful.,5
Cultural Fest,The sound system could be improved.,3
Cultural Fest,The food area was clean.,4
Cultural Fest,The games were not interesting.,2
Cultural Fest,The MCs kept the crowd engaged.,5
Cultural Fest,The event was entertaining.,4
Cultural Fest,The event was okay.,3
Cultural Fest,The timings were not followed.,2
Cultural Fest,The event had a positive vibe.,5
Cultural Fest,Sitting arrangement was poor.,2
Cultural Fest,The sound was crystal clear.,5
Cultural Fest,The event was very crowded.,2
Cultural Fest,Enjoyed the drama and skits.,4
Cultural Fest,The volunteers guided everyone well.,5
Cultural Fest,There was nothing new in the event.,2
Cultural Fest,The food was average.,3
Cultural Fest,The crowd was too loud.,2
Cultural Fest,The event was very colorful.,5
Cultural Fest,The performances were too long.,3
Cultural Fest,The event was worth attending.,5
Cultural Fest,The games were fun.,4
Cultural Fest,The event lacked proper signage.,3
Cultural Fest,The event was energetic.,5
Cultural Fest,The food was cold.,2
Cultural Fest,The program started late.,2
Cultural Fest,The volunteers were friendly.,5
Cultural Fest,The event had a good mix of activities.,4
Cultural Fest,The lighting was poor.,2
Cultural Fest,The event was well planned.,5
Cultural Fest,The event needed more dustbins.,3
Cultural Fest,The music was repetitive.,2
Cultural Fest,The registration was seamless.,5
Cultural Fest,The event was not engaging.,2
Cultural Fest,The food was tasty.,5
Cultural Fest,The event was peaceful.,4
Cultural Fest,The volunteers were not visible.,2
Cultural Fest,The event was too short.,3
Cultural Fest,The performances were delightful.,5
Cultural Fest,The food was spicy.,4
Cultural Fest,The event lacked variety.,3
Cultural Fest,The event was a success.,5
Cultural Fest,The games area was too small.,3
Cultural Fest,The event was overcrowded.,2
Cultural Fest,The staff was supportive.,5
Cultural Fest,The event had a festive feel.,4
Cultural Fest,The sound system failed at times.,2
Cultural Fest,The event was well executed.,5
Cultural Fest,The crowd was unmanageable.,2
Cultural Fest,The event was organized nicely.,5
Cultural Fest,The food was oily.,2
Cultural Fest,The volunteers were enthusiastic.,5
Cultural Fest,The event was average.,3
Cultural Fest,The performances were outstanding!.,5
Cultural Fest,The event was too hot inside.,2
Cultural Fest,The event was enjoyable.,4
